"id_unique";"id_sample";"sample";"sex";"age";"age_range";"native_speaker";"math_grade";"math_load";"math_inf_program_choice";"honesty";"breaks";"noise";"device";"total_time_minutes";"liking_math";"liking_science";"liking_humanities";"persistence_math";"persistence_science";"persistence_humanities";"score_AMAS_total";"score_AMAS_learning";"score_AMAS_testing";"AMAS1";"AMAS2";"AMAS3";"AMAS4";"AMAS5";"AMAS6";"AMAS7";"AMAS8";"AMAS9";"score_GAD";"GAD1";"GAD2";"GAD3";"GAD4";"GAD5";"GAD6";"GAD7";"score_STAI_state_short";"STAI1";"STAI2";"STAI3";"STAI4";"STAI5";"score_TAI_short";"TAI1";"TAI2";"TAI3";"TAI4";"TAI5";"score_SDQ_M";"SDQ_M1";"SDQ_M2";"SDQ_M3";"SDQ_M4";"score_SDQ_L";"SDQ_L1";"SDQ_L2";"SDQ_L3";"SDQ_L4";"score_PISA_ME";"PISA_ME1";"PISA_ME2";"PISA_ME3";"PISA_ME4";"PISA_ME5";"PISA_ME6";"score_BFI_N";"BFI_N1";"BFI_N2";"BFI_N3";"BFI_N4";"BFI_N5";"BFI_N6";"BFI_N7";"BFI_N8";"teacher";"teacher_stage";"teacher_duration";"teacher_experience";"number_main_foci";"main_focus_literacy";"main_focus_humanities";"main_focus_science";"main_focus_mathematics";"main_focus_not_applicable";"preference_teaching_language";"preference_teaching_mathematics";"preference_teaching_science";"ease_teaching_language";"ease_teaching_mathematics";"ease_teaching_science";"score_FSMAS_SE";"FSMAS_SE1";"FSMAS_SE2";"FSMAS_SE3";"FSMAS_SE4";"FSMAS_SE5";"FSMAS_SE6";"FSMAS_SE7";"FSMAS_SE8";"FSMAS_SE9";"sum_arith_perf";"arith_perf_correct_order";"arith_perf1_acc";"arith_perf2_acc";"arith_perf3_acc";"arith_perf4_acc";"arith_perf5_acc";"arith_perf6_acc";"arith_perf7_acc";"arith_perf8_acc";"arith_perf9_acc";"arith_perf10_acc";"arith_perf11_acc";"arith_perf12_acc";"arith_perf13_acc";"arith_perf14_acc";"arith_perf15_acc";"arith_perf16_acc";"arith_perf17_acc";"arith_perf18_acc";"arith_perf19_acc";"arith_perf20_acc";"arith_perf21_acc";"arith_perf22_acc";"arith_perf23_acc";"arith_perf24_acc";"arith_perf25_acc";"arith_perf26_acc";"arith_perf27_acc";"arith_perf28_acc";"arith_perf29_acc";"arith_perf30_acc";"arith_perf31_acc";"arith_perf32_acc";"arith_perf33_acc";"arith_perf34_acc";"arith_perf35_acc";"arith_perf36_acc";"arith_perf37_acc";"arith_perf38_acc";"arith_perf39_acc";"arith_perf40_acc";"arith_perf1_resp";"arith_perf2_resp";"arith_perf3_resp";"arith_perf4_resp";"arith_perf5_resp";"arith_perf6_resp";"arith_perf7_resp";"arith_perf8_resp";"arith_perf9_resp";"arith_perf10_resp";"arith_perf11_resp";"arith_perf12_resp";"arith_perf13_resp";"arith_perf14_resp";"arith_perf15_resp";"arith_perf16_resp";"arith_perf17_resp";"arith_perf18_resp";"arith_perf19_resp";"arith_perf20_resp";"arith_perf21_resp";"arith_perf22_resp";"arith_perf23_resp";"arith_perf24_resp";"arith_perf25_resp";"arith_perf26_resp";"arith_perf27_resp";"arith_perf28_resp";"arith_perf29_resp";"arith_perf30_resp";"arith_perf31_resp";"arith_perf32_resp";"arith_perf33_resp";"arith_perf34_resp";"arith_perf35_resp";"arith_perf36_resp";"arith_perf37_resp";"arith_perf38_resp";"arith_perf39_resp";"arith_perf40_resp"
"1";"1";"german_students";"m";"18";"< 20 years";"yes";"1";"3";"9";"yes";"yes";"1";NA;"7";"5";"4";"3";"4";"3";"3";"9";"5";"4";"1";"1";"1";"1";"1";"1";"1";"1";"1";"9";"2";"1";"1";"1";"1";"2";"1";"5";"1";"1";"1";"1";"1";"5";"1";"1";"1";"1";"1";"16";"4";"4";"4";"4";"12";"3";"3";"3";"3";"24";"4";"4";"4";"4";"4";"4";"14";"2";"1";"2";"1";"2";"3";"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"35";"yes";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"227";"128";"8";"75";"98";"9";"24";"90";"121";"15";"9";"188";"3";"56";"171";"2";"175";"74";"18";"129";"16";"47";"9";"131";"8";"63";"4";"78";"112";"48";"60";"3";"91";"168";"126";"48";NA;NA;NA;NA
"2";"2";"german_students";"m";"24";"20-29 years";"yes";"2";"3";"5";"yes";"yes";"2";NA;"7";"5";"4";"5";"5";"3";"4";"10";"5";"5";"1";"1";"1";"2";"1";"1";"1";"1";"1";"18";"3";"3";"4";"3";"1";"2";"2";"8";"2";"2";"1";"1";"2";"5";"1";"1";"1";"1";"1";"12";"3";"4";"2";"3";"16";"4";"4";"4";"4";"24";"4";"4";"4";"4";"4";"4";"27";"3";"3";"3";"5";"4";"4";"2";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"10";"yes";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"128";"8";"75";"88";"9";"44";"90";"121";"15";"9";"189";"3";"46";"161";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"3";"german_students";"m";"19";"< 20 years";"yes";"3";"2";"3";"yes";"yes";"4";NA;"10";"3";"5";"4";"3";"5";"5";"23";"8";"15";"2";"4";"2";"4";"2";"1";"2";"5";"1";"9";"2";"1";"1";"1";"1";"1";"2";"6";"1";"1";"2";"1";"1";"10";"2";"3";"1";"2";"2";"12";"2";"4";"3";"3";"16";"4";"4";"4";"4";"24";"4";"4";"4";"4";"4";"4";"25";"2";"3";"3";"4";"3";"2";"4";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"22";"yes";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"128";"8";"75";"98";"9";"24";"90";"119";"15";"9";"188";"4";"56";"171";"3";"175";"74";"18";"129";"16";"47";"9";"131";"8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"4";"german_students";"f";"20";"20-29 years";"yes";"1";"1";"7";"yes";"yes";"2";NA;"10";"4";"2";"4";"4";"2";"4";"22";"9";"13";"2";"4";"2";"3";"2";"1";"2";"4";"2";"14";"2";"2";"2";"3";"1";"2";"2";"14";"3";"3";"2";"3";"3";"15";"3";"4";"3";"2";"3";"13";"3";"4";"3";"3";"12";"3";"3";"3";"3";"18";"4";"3";"3";"3";"2";"3";"29";"4";"3";"4";"5";"3";"3";"3";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";"1";"0";"0";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"120";NA;"75";"98";"9";NA;NA;"121";"15";"9";NA;NA;NA;NA;NA;NA;NA;"18";NA;"16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"6";"german_students";"f";"19";"< 20 years";"yes";"5";"1";"5";"yes";"yes";"2";NA;"8";"1";"2";"5";"1";"3";"5";"22";"9";"13";"3";"4";"1";"3";"2";"1";"2";"4";"2";"16";"4";"2";"3";"2";"1";"1";"3";"15";"3";"2";"3";"4";"3";"11";"2";"2";"3";"2";"2";"6";"1";"2";"1";"2";"16";"4";"4";"4";"4";"13";"3";"2";"2";"3";"1";"2";"19";"2";"4";"2";"1";"3";"2";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";"1";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";NA;NA;"75";"98";NA;"24";NA;"121";"15";NA;"188";NA;NA;"171";NA;NA;"74";"18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";"8";"german_students";"f";"22";"20-29 years";"yes";"3";"2";"5";"yes";"yes";"1";NA;"8";"1";"5";"1";"5";"5";"5";"24";"9";"15";"1";"4";"4";"5";"2";"1";"2";"4";"1";"15";"3";"3";"2";"3";"1";"2";"1";"5";"1";"1";"1";"1";"1";"15";"4";"4";"2";"3";"2";"8";"1";"3";"2";"2";"14";"4";"3";"3";"4";"15";"4";"3";"2";"3";"2";"1";"32";"3";"5";"4";"5";"4";"3";"4";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"227";NA;NA;NA;NA;NA;NA;NA;NA;"15";NA;NA;NA;NA;NA;NA;NA;NA;"18";NA;NA;NA;NA;NA;NA;NA;"4";NA;"112";"41";"60";"3";NA;"168";"126";"48";"8";"181";"19";"65"
"7";"9";"german_students";"m";"27";"20-29 years";"yes";"3";"1";"5";"yes";"yes";"3";NA;"9";"3";"5";"5";"3";"4";"5";"9";"5";"4";"1";"1";"1";"1";"1";"1";"1";"1";"1";"9";"2";"1";"1";"2";"1";"1";"1";"5";"1";"1";"1";"1";"1";"7";"2";"1";"1";"2";"1";"11";"2";"4";"2";"3";"16";"4";"4";"4";"4";"24";"4";"4";"4";"4";"4";"4";"22";"3";"4";"2";"2";"2";"1";"5";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"15";"yes";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"128";"8";"85";"98";"9";"24";"90";"121";"15";"9";"188";"3";"56";"171";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"10";"german_students";"f";"27";"20-29 years";"yes";"2";"1";"5";"yes";"yes";"2";NA;"21";"4";"4";"4";"4";"4";"4";"21";"9";"12";"1";"4";"2";"3";"2";"2";"2";"3";"2";"18";"3";"3";"2";"3";"2";"3";"2";"14";"3";"3";"3";"2";"3";"13";"2";"3";"3";"3";"2";"12";"3";"3";"3";"3";"13";"3";"3";"3";"4";"19";"3";"3";"3";"4";"3";"3";"24";"3";"3";"3";"4";"3";"3";"2";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"1";"1";"1";"0";"1";"1";"227";NA;NA;NA;"8";"9";"24";NA;NA;"15";"9";NA;"3";"56";NA;NA;NA;"55";"18";NA;"16";NA;"9";NA;"7";NA;"4";NA;NA;"48";"60";"3";NA;NA;"126";"48";"8";NA;"19";"65"
"9";"11";"german_students";"f";"27";"20-29 years";"yes";"2";"1";"4";"yes";"yes";"1";NA;"10";"3";"4";"5";"2";"3";"4";"24";"10";"14";"3";"3";"2";"4";"3";"1";"1";"4";"3";"15";"4";"2";"2";"2";"2";"2";"1";"13";"3";"4";"1";"2";"3";"14";"4";"3";"2";"3";"2";"11";"3";"3";"2";"3";"13";"3";"3";"3";"4";"21";"4";"3";"4";"4";"3";"3";"30";"3";"4";"4";"4";"4";"3";"4";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"yes";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"128";"8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"12";"german_students";"f";"26";"20-29 years";"yes";"2";"1";"6";"yes";"yes";"3";NA;"11";"4";"3";"2";"5";"4";"3";"20";"8";"12";"2";"3";"1";"3";"2";"2";"1";"4";"2";"15";"2";"2";"4";"2";"2";"2";"1";"9";"2";"2";"2";"1";"2";"7";"2";"2";"1";"1";"1";"12";"3";"3";"3";"3";"15";"4";"4";"4";"3";"19";"4";"4";"3";"3";"2";"3";"28";"3";"4";"4";"4";"4";"4";"2";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"10";"yes";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"104";"8";"75";"98";"9";"24";"90";"121";"15";"9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"11";"14";"german_students";"f";"20";"20-29 years";"yes";"1";"2";"5";"yes";"yes";"1";NA;"7";"2";"5";"5";"3";"4";"4";"25";"9";"16";"3";"4";"1";"4";"4";"1";"2";"4";"2";"9";"2";"1";"1";"2";"1";"1";"1";"8";"2";"2";"1";"1";"2";"15";"4";"4";"2";"2";"3";"12";"3";"3";"3";"3";"16";"4";"4";"4";"4";"19";"4";"4";"3";"3";"3";"2";"19";"2";"2";"3";"3";"2";"2";"2";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"20";"yes";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"134";"8";"75";"98";"9";"24";"90";"121";"15";"8";"88";"3";"56";"171";"2";"175";"74";"18";"129";"16";"47";"9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"12";"15";"german_students";"m";"25";"20-29 years";"yes";"2";"3";"6";"yes";"yes";"4";NA;"8";"5";"5";"4";"2";"1";"2";"9";"5";"4";"1";"1";"1";"1";"1";"1";"1";"1";"1";"13";"2";"2";"2";"2";"2";"2";"1";"5";"1";"1";"1";"1";"1";"8";"1";"2";"2";"1";"2";"15";"4";"4";"3";"4";"4";"1";"1";"1";"1";"24";"4";"4";"4";"4";"4";"4";"25";"3";"4";"3";"4";"3";"4";"1";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"14";"yes";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"128";"8";"75";"98";"9";"24";"90";"121";"15";"324";"188";"3";"56";"171";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"18";"german_students";"f";"21";"20-29 years";"yes";"2";"1";"5";"yes";"no";"1";NA;"14";"3";"2";"5";"5";"2";"5";"15";"5";"10";"1";"1";"1";"2";"2";"1";"1";"5";"1";"13";"1";"2";"1";"2";"3";"2";"2";"6";"2";"1";"1";"1";"1";"8";"3";"2";"1";"1";"1";"15";"3";"4";"4";"4";"16";"4";"4";"4";"4";"19";"4";"3";"4";"4";"2";"2";"29";"2";"4";"5";"3";"5";"4";"2";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"14";"yes";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"126";"8";"75";"98";"9";"24";"90";"121";"15";"9";"188";"3";"56";"171";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"14";"19";"german_students";"f";"23";"20-29 years";"yes";"3";"1";"5";"yes";"yes";"1";NA;"13";"2";"1";"4";"3";"3";"3";"19";"5";"14";"1";"4";"1";"4";"2";"1";"1";"4";"1";"14";"2";"2";"2";"3";"3";"1";"1";"11";"2";"2";"3";"2";"2";"18";"4";"4";"4";"3";"3";"9";"2";"2";"2";"3";"10";"2";"3";"2";"3";"18";"4";"4";"2";"3";"2";"3";"22";"2";"3";"3";"1";"4";"4";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"yes";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"126";"13";"75";"98";"9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"15";"20";"german_students";"f";"36";"30-39 years";"yes";"1";"1";"5";"yes";"yes";"4";NA;"7";"5";"5";"5";"4";"4";"5";"9";"5";"4";"1";"1";"1";"1";"1";"1";"1";"1";"1";"8";"2";"1";"1";"1";"1";"1";"1";"8";"2";"2";"2";"1";"1";"19";"4";"4";"3";"4";"4";"16";"4";"4";"4";"4";"16";"4";"4";"4";"4";"24";"4";"4";"4";"4";"4";"4";"20";"4";"2";"3";"3";"2";"2";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";NA;NA;"85";"98";"9";"24";"90";"121";"15";"9";"188";NA;NA;"171";"2";NA;"74";"18";"129";"16";NA;"9";"131";"8";"63";"4";NA;"113";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"21";"german_students";"f";"20";"20-29 years";"yes";"2";"2";"5";"yes";"yes";"2";NA;"9";"3";"4";"4";"2";"4";"4";"21";"9";"12";"1";"3";"2";"3";"3";"2";"2";"3";"2";"12";"1";"2";"3";"2";"1";"1";"2";"9";"2";"2";"1";"2";"2";"7";"2";"1";"2";"1";"1";"11";"3";"3";"2";"3";"12";"3";"3";"3";"3";"19";"4";"3";"3";"4";"3";"2";"27";"3";"4";"3";"4";"4";"4";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";"1";"0";"0";"0";"1";"1";"1";"1";"0";"1";"0";"1";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";NA;NA;NA;"98";"9";"24";"90";"111";"15";NA;"188";NA;NA;"171";NA;"175";"74";"18";"129";"16";"47";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"17";"22";"german_students";"f";"19";"< 20 years";"yes";"1";"2";"8";"yes";"yes";"2";NA;"8";"5";"5";"4";"5";"4";"3";"10";"5";"5";"1";"1";"1";"1";"1";"1";"1";"2";"1";"21";"3";"3";"3";"4";"4";"3";"1";"12";"2";"3";"2";"2";"3";"10";"2";"1";"4";"2";"1";"16";"4";"4";"4";"4";"13";"3";"3";"3";"4";"21";"4";"3";"4";"4";"3";"3";"28";"2";"3";"4";"5";"4";"4";"4";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"17";"yes";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"122";"8";"75";"98";"9";"24";"90";"121";"15";"9";"88";"3";"56";"171";"2";"175";"74";"18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"18";"23";"german_students";"f";"25";"20-29 years";"yes";"5";"1";"2";"yes";"yes";"3";NA;"6";"1";"3";"5";"1";"3";"5";"30";"13";"17";"3";"4";"3";"4";"4";"2";"2";"5";"3";"19";"4";"3";"3";"3";"2";"2";"2";"15";"3";"3";"3";"3";"3";"11";"3";"2";"2";"2";"2";"7";"1";"3";"1";"2";"16";"4";"4";"4";"4";"11";"3";"2";"1";"3";"1";"1";"28";"3";"3";"3";"4";"4";"4";"3";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"10";"yes";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"154";"9";"85";"98";"9";"24";"90";"121";"15";"9";"188";"3";"49";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"19";"24";"german_students";"f";"56";"over 50 years";"yes";"4";"1";"5";"yes";"yes";"3";NA;"8";"3";"5";"5";"3";"5";"5";"25";"9";"16";"2";"2";"2";"5";"4";"1";"1";"5";"3";"24";"4";"3";"4";"4";"2";"3";"4";"20";"4";"4";"4";"4";"4";"10";"2";"2";"2";"1";"3";"10";"2";"3";"2";"3";"10";"4";"4";"1";"1";"24";"4";"4";"4";"4";"4";"4";"38";"5";"5";"5";"5";"5";"4";"4";"5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"yes";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"108";"8";"75";"98";"9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"20";"26";"german_students";"m";"20";"20-29 years";"yes";"2";"1";"7";"yes";"yes";"4";NA;"8";"3";"4";"5";"5";"5";"5";"10";"5";"5";"1";"1";"1";"1";"1";"1";"1";"2";"1";"9";"2";"1";"2";"1";"1";"1";"1";"7";"2";"2";"1";"1";"1";"6";"2";"1";"1";"1";"1";"13";"3";"4";"2";"4";"16";"4";"4";"4";"4";"19";"4";"4";"4";"4";"1";"2";"18";"4";"1";"4";"4";"1";"1";"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"237";"124";NA;"95";"98";"9";"24";"90";"111";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"21";"27";"german_students";"f";"27";"20-29 years";"yes";"3";"1";"5";"yes";"yes";"3";NA;"9";"3";"4";"5";"2";"2";"5";"22";"6";"16";"2";"3";"1";"4";"4";"1";"1";"5";"1";"15";"2";"1";"2";"3";"2";"3";"2";"12";"3";"3";"2";"2";"2";"18";"4";"4";"4";"4";"2";"9";"2";"3";"2";"2";"10";"4";"4";"1";"1";"22";"4";"4";"4";"4";"3";"3";"32";"4";"4";"4";"4";"4";"4";"4";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"108";NA;"75";"98";"9";"24";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
